feature,year_1994,year_1999,year_2004,year_2009,year_2014,year_2019
Wahlberechtigte,x,-3.2,0.5,1.2,1.9,-0.4
Wählende,x,-27.8,-2.8,-7.8,35.5,29.1
Briefwählende,x,-0.6,16,2.2,56.2,39.9
Wahllokalwählende,x,-32.1,-7.1,-10.7,28.7,24.8
