age,2019_total,2019_male,2019_female,2014_total,2014_male,2014_female,comparison_total,comparison_male,comparison_female
18 bis unter 21,13.9,12.5,15.7,7.3,6.9,7.6,6.6,5.6,8.1
21 bis unter 25,15.4,12.8,17.9,8.2,6.5,9.8,7.2,6.3,8.1
25 bis unter 30,17.4,14.7,19.9,9.6,8.5,10.7,7.8,6.2,9.2
30 bis unter 35,18,16.8,19.1,10.6,9.4,11.8,7.4,7.4,7.3
35 bis unter 40,17.4,16.5,18.4,11.2,10.3,12.1,6.2,6.2,6.3
40 bis unter 45,17.4,16.9,17.9,12.1,12.8,11.4,5.3,4.1,6.5
45 bis unter 50,17.4,16.1,18.8,12.1,11.5,12.7,5.3,4.6,6.1
50 bis unter 60,19.4,17.9,20.9,13.6,13.0,14.3,5.8,4.9,6.6
60 bis unter 70,21.1,20.1,22.0,15.2,15.2,15.2,5.9,4.9,6.8
70 und älter,21.2,21.9,20.7,15.7,16.4,15.2,5.5,5.5,5.5
