feature,year_1994,year_1999,year_2004,year_2009,year_2014,year_2019
Wahlberechtigte,x,-0.2,3.6,3.3,1.1,0
Wählende,x,-29.3,0.3,-6.5,40.5,39.2
Briefwählende,x,6,27.3,5.2,61.1,52.8
Wahllokalwählende,x,-33.7,-5,-9.6,34.2,34.3
