feature,year_1994,year_1999,year_2004,year_2009,year_2014,year_2019
Wahlberechtigte,x,x,x,x,x,x
Wählende,53.5,39.9,38.6,35.1,46.7,60.6
Briefwählende ¹,13.6,18.7,22.3,24.7,28.5,30.9
Wahllokalwählende ¹,86.4,81.3,77.7,75.3,71.5,69.1
