age,2019_total,2019_male,2019_female,2014_total,2014_male,2014_female,comparison_total,comparison_male,comparison_female
18 bis unter 21,2.8,3,2.6,2.5,2.6,2.4,0.3,0.4,0.2
21 bis unter 25,5.2,5.5,5,5.7,5.7,5.6,-0.5,-0.2,-0.6
25 bis unter 30,7.2,7.6,6.8,9,9.3,8.8,-1.8,-1.7,-2
30 bis unter 35,7.5,8,7.1,8.5,9.1,8.1,-1,-1.1,-1
35 bis unter 40,7.4,7.6,7.2,7,7.3,6.6,0.4,0.3,0.6
40 bis unter 45,6.4,6.6,6.1,6.7,7.3,6.1,-0.3,-0.7,0
45 bis unter 50,6.7,7,6.5,9,9.5,8.6,-2.3,-2.5,-2.1
50 bis unter 60,18.9,19.7,18.1,17.7,18.5,16.9,1.2,1.2,1.2
60 bis unter 70,15.1,14.8,15.3,13.8,13.8,13.8,1.3,1,1.5
70 und älter,22.9,20.4,25.2,20.2,17.1,23.1,2.7,3.3,2.1
