election_date,total,party_spd,party_cdu,party_grüne,party_die_linke,party_fdp,party_afd,others
12. Juni 1994,5.0,2.0,1.0,2.0,0.0,0.0,x,0.0
darunter weiblich,1.0,1.0,0.0,0.0,0.0,0.0,x,0.0
13. Juni 1999,6.0,1.0,1.0,1.0,3.0,0.0,x,0.0
darunter weiblich,3.0,1.0,0.0,1.0,1.0,0.0,x,0.0
13. Juni 2004,6.0,1.0,1.0,2.0,2.0,0.0,x,0.0
darunter weiblich,3.0,1.0,0.0,0.0,2.0,0.0,x,0.0
7. Juni 2009,6.0,0.0,1.0,4.0,0.0,1.0,x,0.0
darunter weiblich,2.0,0.0,0.0,1.0,0.0,1.0,x,0.0
25. Mai 2014,11.0,1.0,1.0,4.0,1.0,0.0,2,2.0
darunter weiblich,5.0,1.0,0.0,2.0,1.0,0.0,1,0.0
