age,berlin_total,berlin_male,berlin_female,berlin_east_total,berlin_east_male,berlin_east_female,berlin_west_total,berlin_west_male,berlin_west_female
18 bis unter 25,2.3,1.9,2.7,2.1,1.7,2.5,2.4,2.0,2.7
25 bis unter 35,1.5,1.5,1.5,1.6,1.7,1.5,1.5,1.4,1.5
35 bis unter 45,1.1,1.1,1.1,1.0,1.1,0.9,1.2,1.1,1.3
45 bis unter 60,1.3,1.4,1.3,1.3,1.4,1.2,1.4,1.4,1.3
60 bis unter 70,1.4,1.4,1.4,1.5,1.4,1.6,1.4,1.4,1.4
70 und älter,2,1.5,2.4,1.9,1.5,2.3,2.1,1.6,2.5
Insgesamt,1.5,1.4,1.7,1.5,1.4,1.5,1.6,1.4,1.7
