country,total,01_mitte,02_friedrichshain_kreuzberg,03_pankow,04_charlottenburg_wilmersdorf,05_spandau,06_steglitz_zehlendorf,07_tempelhof_schöneberg,08_neukölln,09_treptow_köpenick,10_marzahn_hellersdorf,11_lichtenberg,12_reinickendorf
Belgien,2020.0,442.0,336.0,247.0,236.0,36.0,101.0,168.0,232.0,62.0,22.0,66.0,72.0
Bulgarien,24006.0,5977.0,1673.0,1116.0,1809.0,2140.0,790.0,1896.0,2843.0,1013.0,876.0,1723.0,2150.0
Dänemark,3153.0,642.0,561.0,461.0,496.0,54.0,140.0,263.0,348.0,66.0,21.0,45.0,56.0
Estland,846.0,169.0,105.0,94.0,129.0,37.0,44.0,67.0,61.0,24.0,39.0,40.0,37.0
Finnland,2167.0,397.0,286.0,329.0,359.0,49.0,129.0,211.0,188.0,78.0,24.0,58.0,59.0
Frankreich,19139.0,4037.0,3459.0,2342.0,2740.0,278.0,833.0,1707.0,2070.0,428.0,101.0,413.0,731.0
Griechenland,13300.0,2556.0,1370.0,905.0,1921.0,462.0,1030.0,1726.0,1478.0,368.0,276.0,406.0,802.0
Irland,3249.0,615.0,707.0,415.0,410.0,30.0,152.0,240.0,451.0,79.0,22.0,82.0,46.0
Italien,28917.0,5157.0,4683.0,3405.0,3792.0,962.0,1503.0,2869.0,3290.0,786.0,258.0,900.0,1312.0
Kroatien,12934.0,1817.0,918.0,498.0,1727.0,1215.0,1151.0,2118.0,1518.0,304.0,158.0,452.0,1058.0
Lettland,3442.0,570.0,196.0,212.0,611.0,240.0,171.0,291.0,167.0,139.0,369.0,312.0,164.0
Litauen,3119.0,591.0,225.0,249.0,469.0,201.0,168.0,275.0,205.0,127.0,219.0,191.0,199.0
Luxemburg,817.0,204.0,148.0,92.0,124.0,9.0,42.0,63.0,73.0,19.0,12.0,22.0,9.0
Malta,91.0,9.0,18.0,12.0,18.0,0.0,3.0,6.0,15.0,0.0,3.0,0.0,7.0
Niederlande,6580.0,1157.0,1158.0,857.0,832.0,175.0,447.0,650.0,656.0,223.0,54.0,169.0,202.0
Österreich,11418.0,1929.0,1627.0,1418.0,1711.0,370.0,948.0,1057.0,1137.0,378.0,109.0,295.0,439.0
Polen,52297.0,7820.0,2661.0,2941.0,6792.0,5504.0,3699.0,5378.0,5221.0,2210.0,2303.0,3234.0,4534.0
Portugal,5003.0,957.0,666.0,541.0,573.0,159.0,216.0,363.0,449.0,152.0,224.0,455.0,248.0
Rumänien,18097.0,3014.0,1073.0,1046.0,1988.0,1741.0,804.0,1457.0,2060.0,895.0,1543.0,1328.0,1148.0
Schweden,4062.0,751.0,734.0,514.0,534.0,63.0,196.0,314.0,636.0,100.0,34.0,96.0,90.0
Slowakei,1480.0,258.0,140.0,177.0,177.0,78.0,116.0,101.0,91.0,83.0,59.0,117.0,83.0
Slowenien,1500.0,317.0,167.0,108.0,194.0,129.0,102.0,121.0,157.0,35.0,21.0,46.0,103.0
Spanien,14047.0,2934.0,2634.0,1760.0,1683.0,287.0,645.0,1155.0,1520.0,419.0,135.0,504.0,371.0
Tschechische Republik,2325.0,431.0,241.0,296.0,309.0,89.0,132.0,190.0,210.0,125.0,63.0,142.0,97.0
Ehemalige Tschechoslowakei¹,139.0,5.0,6.0,15.0,52.0,9.0,24.0,12.0,7.0,3.0,6.0,0.0,0.0
Ungarn,5798.0,1033.0,491.0,615.0,749.0,297.0,365.0,444.0,415.0,346.0,361.0,378.0,304.0
Vereinigtes Königreich,15542.0,2714.0,2922.0,2026.0,2014.0,491.0,836.0,1263.0,1988.0,438.0,99.0,399.0,352.0
Zypern,364.0,92.0,59.0,43.0,51.0,7.0,24.0,40.0,18.0,12.0,3.0,9.0,6.0
