feature,year_1994,year_1999,year_2004,year_2009,year_2014,year_2019
Wahlberechtigte,x,-5.2,-1.5,-0.3,2.4,-0.7
Wählende,x,-26.9,-4.5,21.2,32.5,22.8
Briefwählende,x,-3.3,11,54.6,53.6,32.6
Wahllokalwählende,x,-31.1,-8.4,-11.3,25.3,18.8
