electoral_district_id,electoral_district_name,district_name,eligible_voters,eligible_voters_a1,eligible_voters_a2,voters,invalid_votes,valid_votes,party_spd,party_spd_percentage,party_cdu,party_cdu_percentage,party_grüne,party_grüne_percentage,party_die_linke,party_die_linke_percentage,party_afd,party_afd_percentage,party_piraten,party_piraten_percentage,party_fdp,party_fdp_percentage,party_tierschutzpartei,party_tierschutzpartei_percentage,party_die_partei,party_die_partei_percentage,party_npd,party_npd_percentage,party_familie,party_familie_percentage,party_volksabstimmung,party_volksabstimmung_percentage,party_ödp,party_ödp_percentage,party_freie_wähler,party_freie_wähler_percentage,party_dkp,party_dkp_percentage,party_mlpd,party_mlpd_percentage,party_sgp,party_sgp_percentage,party_bp,party_bp_percentage,party_tierschutz_hier,party_tierschutz_hier_percentage,party_tierschutzallianz,party_tierschutzallianz_percentage,party_bündnis_c,party_bündnis_c_percentage,party_big,party_big_percentage,party_die_direkte,party_die_direkte_percentage,party_diem25,party_diem25_percentage,party_III_weg,party_III_weg_percentage,party_die_grauen,party_die_grauen_percentage,party_die_rechte,party_die_rechte_percentage,party_die_violetten,party_die_violetten_percentage,party_liebe,party_liebe_percentage,party_die_frauen,party_die_frauen_percentage,party_graue_panther,party_graue_panther_percentage,party_lkr,party_lkr_percentage,party_menschliche_welt,party_menschliche_welt_percentage,party_nl,party_nl_percentage,party_ökolinx,party_ökolinx_percentage,party_partei_für_die_tiere,party_partei_für_die_tiere_percentage,party_gesundheitsforschung,party_gesundheitsforschung_percentage,party_volt,party_volt_percentage
07 AH_WK 6,Abgeordnetenhauswahlkreis 6,Tempelhof-Schöneberg,33054,26323,6731,19126,57,216,18910,3128.0,16,5391.0,28,3645.0,19,877.0,4,2243.0,11,163.0,0,1248.0,6,365.0,1,462.0,2,26.0,0,146.0,0,33.0,0,112.0,0,147.0,0,4.0,0,8.0,0,5.0,0,14.0,0,68.0,0,57.0,0,37.0,0,52.0,0,10.0,0,10.0,0,73.0,0,6.0,0,128.0,0,8.0,0,11.0,0,19.0,0,23.0,0,95.0,0,27.0,0,20.0,0,11.0,0,13.0,0,21.0,0,51.0
07 AH_WK 7,Abgeordnetenhauswahlkreis 7,Tempelhof-Schöneberg,33107,25892,7215,20269,61,234,20035,2931.0,14,5844.0,29,4100.0,20,843.0,4,2416.0,12,135.0,0,1405.0,7,407.0,2,481.0,2,26.0,0,172.0,0,38.0,0,102.0,0,153.0,0,9.0,0,7.0,0,1.0,0,17.0,0,68.0,0,58.0,0,37.0,0,43.0,0,16.0,0,12.0,0,83.0,0,3.0,0,96.0,0,11.0,0,12.0,0,18.0,0,21.0,0,124.0,0,35.0,0,28.0,0,8.0,0,19.0,0,29.0,0,56.0
08 AH_WK 1,Abgeordnetenhauswahlkreis 1,Neukölln,28680,22243,6437,18146,63,111,18035,1769.0,9,899.0,5,7483.0,41,2922.0,16,632.0,3,128.0,0,297.0,1,254.0,1,1640.0,9,16.0,0,48.0,0,17.0,0,103.0,0,33.0,0,31.0,0,17.0,0,8.0,0,5.0,0,32.0,0,24.0,0,6.0,0,115.0,0,43.0,0,12.0,0,723.0,4,4.0,0,36.0,0,1.0,0,11.0,0,14.0,0,44.0,0,40.0,0,13.0,0,27.0,0,5.0,0,227.0,1,36.0,0,26.0
08 AH_WK 2,Abgeordnetenhauswahlkreis 2,Neukölln,29079,23136,5943,17695,60,101,17594,1829.0,10,800.0,4,7025.0,39,2861.0,16,631.0,3,154.0,0,242.0,1,293.0,1,1717.0,9,18.0,0,34.0,0,10.0,0,70.0,0,36.0,0,32.0,0,33.0,0,6.0,0,6.0,0,26.0,0,19.0,0,12.0,0,135.0,0,47.0,0,8.0,0,717.0,4,3.0,0,30.0,0,5.0,0,18.0,0,12.0,0,34.0,0,32.0,0,5.0,0,23.0,0,8.0,0,227.0,1,42.0,0,19.0
08 AH_WK 3,Abgeordnetenhauswahlkreis 3,Neukölln,30338,25191,5147,15992,52,170,15822,1835.0,11,1129.0,7,5537.0,35,2578.0,16,754.0,4,137.0,0,290.0,1,309.0,2,1413.0,8,17.0,0,35.0,0,23.0,0,77.0,0,27.0,0,36.0,0,15.0,0,5.0,0,10.0,0,47.0,0,27.0,0,12.0,0,183.0,1,43.0,0,10.0,0,537.0,3,3.0,0,31.0,0,12.0,0,15.0,0,14.0,0,36.0,0,44.0,0,5.0,0,21.0,0,13.0,0,179.0,1,49.0,0,23.0
08 AH_WK 4,Abgeordnetenhauswahlkreis 4,Neukölln,29905,24305,5600,15825,52,230,15595,2735.0,17,3085.0,19,3369.0,21,1214.0,7,1874.0,12,143.0,0,734.0,4,444.0,2,616.0,3,29.0,0,104.0,0,23.0,0,68.0,0,79.0,0,12.0,0,8.0,0,1.0,0,12.0,0,78.0,0,45.0,0,15.0,0,145.0,0,25.0,0,9.0,0,120.0,0,3.0,0,84.0,0,8.0,0,11.0,0,15.0,0,40.0,0,102.0,0,22.0,0,21.0,0,8.0,0,49.0,0,31.0,0,45.0
08 AH_WK 5,Abgeordnetenhauswahlkreis 5,Neukölln,27240,21905,5335,15352,56,168,15184,2602.0,17,3995.0,26,2680.0,17,780.0,5,2035.0,13,125.0,0,972.0,6,372.0,2,355.0,2,26.0,0,138.0,0,21.0,0,78.0,0,114.0,0,7.0,0,8.0,0,0.0,0,27.0,0,71.0,0,36.0,0,19.0,0,96.0,0,14.0,0,14.0,0,84.0,0,4.0,0,100.0,0,7.0,0,13.0,0,15.0,0,14.0,0,101.0,0,20.0,0,11.0,0,8.0,0,10.0,0,18.0,0,49.0
08 AH_WK 6,Abgeordnetenhauswahlkreis 6,Neukölln,29572,25167,4405,13217,44,254,12963,2691.0,20,3142.0,24,1692.0,13,932.0,7,1949.0,15,84.0,0,657.0,5,327.0,2,316.0,2,48.0,0,114.0,0,29.0,0,56.0,0,72.0,0,4.0,0,9.0,0,3.0,0,20.0,0,76.0,0,33.0,0,20.0,0,140.0,1,15.0,0,14.0,0,44.0,0,2.0,0,89.0,0,11.0,0,11.0,0,17.0,0,20.0,0,108.0,0,12.0,0,24.0,0,1.0,0,10.0,0,14.0,0,53.0
08 AH_WK 7,Abgeordnetenhauswahlkreis 7,Neukölln,27827,22149,5678,16703,60,224,16479,2752.0,16,4692.0,28,2842.0,17,739.0,4,2215.0,13,96.0,0,1066.0,6,382.0,2,392.0,2,48.0,0,152.0,0,24.0,0,100.0,0,100.0,0,13.0,0,2.0,0,2.0,0,28.0,0,80.0,0,35.0,0,30.0,0,78.0,0,25.0,0,10.0,0,57.0,0,4.0,0,110.0,0,15.0,0,15.0,0,11.0,0,25.0,0,98.0,0,18.0,0,12.0,0,5.0,0,12.0,0,25.0,0,40.0
09 AH_WK 1,Abgeordnetenhauswahlkreis 1,Treptow-Köpenick,33946,27009,6937,20829,61,150,20679,2434.0,11,1699.0,8,5672.0,27,4020.0,19,1981.0,9,233.0,1,580.0,2,529.0,2,1602.0,7,54.0,0,113.0,0,18.0,0,135.0,0,121.0,0,57.0,0,32.0,0,5.0,0,7.0,0,66.0,0,46.0,0,17.0,0,19.0,0,61.0,0,17.0,0,364.0,1,6.0,0,66.0,0,10.0,0,28.0,0,15.0,0,52.0,0,88.0,0,16.0,0,31.0,0,18.0,0,111.0,0,51.0,0,46.0
