feature,year_1994,year_1999,year_2004,year_2009,year_2014,year_2019
Wahlberechtigte,971389,969757,1004515,1037985,1049145,1048760
Wählende,483112,341536,342625,320187,449963,626543
Briefwählende,52968,56170,71482,75194,121100,185042
Wahllokalwählende,430144,285366,271143,244993,328863,441501
