feature,year_1994,year_1999,year_2004,year_2009,year_2014,year_2019
Wahlberechtigte,100,99.8,103.4,106.9,108,108
Wählende,100,70.7,70.9,66.3,93.1,129.7
Briefwählende,100,106,135,142,228.6,349.3
Wahllokalwählende,100,66.3,63,57,76.5,102.6
