constituency_district,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_fdp,others
1,28619,20302.0,70.9,20048.0,24.4,17.4,20.3,9.4,7.3,8.2,13.0
2,30659,25062.0,81.7,24354.0,22.7,25.8,19.7,6.8,4.9,11.5,8.6
3,30673,24708.0,80.6,24444.0,21.7,15.5,28.5,11.4,3.8,8.6,10.5
4,31659,24826.0,78.4,24512.0,22.0,18.7,25.1,8.9,4.0,11.5,9.7
5,30247,23632.0,78.1,23377.0,21.2,27.8,17.6,6.4,5.0,14.0,8.1
6,31158,24552.0,78.8,24199.0,22.7,19.2,25.5,9.3,3.9,9.4,10.0
7,32232,25825.0,80.1,25595.0,23.8,22.0,21.8,8.3,5.0,9.3,9.9
