constituency_district,total,foreigners,foreigners_percentage,foreigners_from_eu_percentage,germans_total,germans_below_6,germans_below_6_percentage,germans_between_6_and_18,germans_between_6_and_18_percentage,germans_between_18_and_70,germans_between_18_and_70_percentage,germans_above_70,germans_above_70_percentage
1,48283,14209,29.4,9.8,34074,2351,6.9,3661,10.7,22630,66.4,5432,15.9
2,48075,13964,29.0,10.2,34111,2101,6.2,3574,10.5,21905,64.2,6531,19.1
3,40572,4786,11.8,3.7,35786,1826,5.1,3817,10.7,21575,60.3,8568,23.9
4,48343,8961,18.5,5.2,39382,2124,5.4,3639,9.2,24687,62.7,8932,22.7
5,45939,11241,24.5,5.8,34698,2571,7.4,5512,15.9,19650,56.6,6965,20.1
6,36186,2745,7.6,2.8,33441,1627,4.9,3982,11.9,19140,57.2,8692,26.0
