constituency_district,total,germans_above_16_female,germans_above_16_female_percentage,foreigners_from_eu,foreigners_from_eu_percentage,between_16_and_18,between_16_and_18_percentage
1,36655,15176.0,41.4,5807.0,15.8,657.0,1.8
2,38818,16569.0,42.7,5395.0,13.9,536.0,1.4
3,35819,14902.0,41.6,5274.0,14.7,618.0,1.7
4,35791,14127.0,39.5,6064.0,16.9,654.0,1.8
5,33286,14523.0,43.6,4988.0,15.0,594.0,1.8
6,34875,13478.0,38.6,7135.0,20.5,991.0,2.8
7,34848,14310.0,41.1,5592.0,16.0,916.0,2.6
