constituency_district,total,foreigners,foreigners_percentage,foreigners_from_eu_percentage,germans_total,germans_below_6,germans_below_6_percentage,germans_between_6_and_18,germans_between_6_and_18_percentage,germans_between_18_and_70,germans_between_18_and_70_percentage,germans_above_70,germans_above_70_percentage
1,52054,9779.0,18.8,6.2,42275.0,2673.0,6.3,3995.0,9.5,28886.0,68.3,6721.0,15.9
2,50790,8288.0,16.3,5.7,42502.0,2622.0,6.2,4187.0,9.9,28781.0,67.7,6912.0,16.3
3,51402,7964.0,15.5,4.3,43438.0,2978.0,6.9,5122.0,11.8,29048.0,66.9,6290.0,14.5
4,48894,5744.0,11.7,4.2,43150.0,2679.0,6.2,4254.0,9.9,28468.0,66.0,7749.0,18.0
5,38218,3484.0,9.1,2.6,34734.0,1654.0,4.8,3348.0,9.6,21333.0,61.4,8399.0,24.2
6,43092,3086.0,7.2,1.9,40006.0,2087.0,5.2,3996.0,10.0,24207.0,60.5,9716.0,24.3
