constituency_district,total,germans_above_16_female,germans_above_16_female_percentage,foreigners_from_eu,foreigners_from_eu_percentage,between_16_and_18,between_16_and_18_percentage
1,34944,17424.0,49.9,2584.0,7.4,576.0,1.6
2,34023,16869.0,49.6,2537.0,7.5,578.0,1.7
3,36198,18562.0,51.3,1876.0,5.2,892.0,2.5
4,31339,15783.0,50.4,1814.0,5.8,643.0,2.1
5,32322,16538.0,51.2,1947.0,6.0,589.0,1.8
6,33899,17632.0,52.0,1745.0,5.1,851.0,2.5
7,32137,16188.0,50.4,1599.0,5.0,817.0,2.5
