constituency_district,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_fdp,others
1,30084,16815.0,55.9,16444.0,16.1,15.3,3.3,24.4,26.1,2.0,12.7
2,32599,20623.0,63.3,20218.0,18.4,14.3,4.9,27.0,21.7,3.1,10.6
3,35695,21144.0,59.2,20712.0,20.9,11.4,5.4,27.6,20.9,2.7,11.3
4,35213,22419.0,63.7,22062.0,19.9,9.4,9.8,29.5,16.2,3.0,12.3
5,34420,21614.0,62.8,21225.0,19.7,9.6,11.6,26.4,16.1,2.8,13.7
6,36700,26078.0,71.1,25716.0,22.1,13.0,9.6,26.2,15.6,3.6,9.9
