constituency_district,total,foreigners,foreigners_percentage,foreigners_from_eu_percentage,germans_total,germans_below_6,germans_below_6_percentage,germans_between_6_and_18,germans_between_6_and_18_percentage,germans_between_18_and_70,germans_between_18_and_70_percentage,germans_above_70,germans_above_70_percentage
1,45734,8123.0,17.8,6.1,37611.0,2098.0,5.6,3704.0,9.8,24707.0,65.7,7102.0,18.9
2,44925,8466.0,18.8,6.2,36459.0,2046.0,5.6,3486.0,9.6,24104.0,66.1,6823.0,18.7
3,47607,7147.0,15.0,4.3,40460.0,1957.0,4.8,5041.0,12.5,24099.0,59.6,9363.0,23.1
4,41914,7332.0,17.5,4.8,34582.0,1841.0,5.3,3836.0,11.1,20524.0,59.3,8381.0,24.2
5,42837,7329.0,17.1,5.1,35508.0,2009.0,5.7,3686.0,10.4,21566.0,60.7,8247.0,23.2
6,44627,6736.0,15.1,4.3,37891.0,1836.0,4.8,4731.0,12.5,22169.0,58.5,9155.0,24.2
7,42810,6632.0,15.5,4.0,36178.0,1687.0,4.7,4760.0,13.2,20327.0,56.2,9404.0,26.0
