constituency_district,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_fdp,others
1,33773,26141.0,77.4,25902.0,20.5,13.8,29.9,13.7,3.7,7.1,11.2
2,32542,25701.0,79.0,25476.0,19.8,10.6,33.0,15.3,3.3,5.4,12.5
3,33398,27855.0,83.4,27613.0,22.4,15.4,30.8,10.4,3.5,7.2,10.2
4,32500,24879.0,76.6,24633.0,21.9,17.3,23.1,11.9,5.4,6.5,13.9
5,32843,23475.0,71.5,23148.0,25.6,24.5,13.3,7.2,7.9,7.7,13.8
6,32036,23740.0,74.1,23399.0,25.2,30.9,10.6,4.5,9.1,9.0,10.7
7,32513,24985.0,76.8,24648.0,23.6,33.9,10.6,4.2,8.7,8.6,10.4
