constituency_district,total,foreigners,foreigners_percentage,foreigners_from_eu_percentage,germans_total,germans_below_6,germans_below_6_percentage,germans_between_6_and_18,germans_between_6_and_18_percentage,germans_between_18_and_70,germans_between_18_and_70_percentage,germans_above_70,germans_above_70_percentage
1,55798,18461.0,33.1,11.1,37337.0,2782.0,7.5,4320.0,11.6,27662.0,74.1,2573.0,6.9
2,59494,20873.0,35.1,9.7,38621.0,2300.0,6.0,3387.0,8.8,25755.0,66.7,7179.0,18.6
3,53348,17799.0,33.4,10.7,35549.0,2083.0,5.9,3504.0,9.9,24898.0,70.0,5064.0,14.2
4,54517,19562.0,35.9,12.1,34955.0,2288.0,6.5,3521.0,10.1,26365.0,75.4,2781.0,8.0
5,49497,16196.0,32.7,11.2,33301.0,2153.0,6.5,3388.0,10.2,22481.0,67.5,5279.0,15.9
6,59910,25249.0,42.1,13.9,34661.0,2715.0,7.8,5027.0,14.5,24113.0,69.6,2806.0,8.1
7,59267,22403.0,37.8,10.2,36864.0,3060.0,8.3,5417.0,14.7,25271.0,68.6,3116.0,8.5
