constituency_district,total,foreigners,foreigners_percentage,foreigners_from_eu_percentage,germans_total,germans_below_6,germans_below_6_percentage,germans_between_6_and_18,germans_between_6_and_18_percentage,germans_between_18_and_70,germans_between_18_and_70_percentage,germans_above_70,germans_above_70_percentage
1,46325,7498.0,16.2,4.5,38827.0,2257.0,5.8,5105.0,13.1,26535.0,68.3,4930.0,12.7
2,47066,8264.0,17.6,4.0,38802.0,1836.0,4.7,3852.0,9.9,23953.0,61.7,9161.0,23.6
3,53679,12267.0,22.9,7.4,41412.0,2878.0,6.9,5177.0,12.5,28850.0,69.7,4507.0,10.9
4,47673,6277.0,13.2,3.1,41396.0,2240.0,5.4,4231.0,10.2,26038.0,62.9,8887.0,21.5
5,42660,2080.0,4.9,1.3,40580.0,2171.0,5.3,4738.0,11.7,26520.0,65.4,7151.0,17.6
6,44163,6486.0,14.7,4.4,37677.0,2250.0,6.0,4445.0,11.8,25549.0,67.8,5433.0,14.4
