constituency_district,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_fdp,others
1,33686,21630.0,64.2,21648.0,18.1,6.9,29.9,23.5,6.6,2.8,12.2
2,32457,20170.0,62.1,19962.0,17.9,6.5,28.7,24.7,6.7,2.6,12.9
3,33490,18272.0,54.6,17948.0,25.0,12.9,16.0,17.1,12.9,4.2,11.9
4,34599,21076.0,60.9,20674.0,27.7,24.0,6.7,6.1,19.6,7.8,8.1
5,34857,23660.0,67.9,23096.0,25.3,25.7,9.4,6.4,17.8,8.0,7.5
6,33364,23199.0,69.5,22118.0,25.7,28.8,7.5,5.3,18.4,8.5,5.7
