constituency_district,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_fdp,others
1,31778,23821.0,75.0,23580.0,16.9,5.6,32.1,26.4,3.0,2.7,13.2
2,31859,22905.0,71.9,22683.0,16.9,5.1,31.9,26.9,3.1,2.5,13.6
3,33071,21044.0,63.6,20727.0,25.6,10.5,19.8,19.2,5.9,4.0,15.1
4,32909,22004.0,66.9,21453.0,36.3,23.7,6.1,5.2,10.3,6.4,12.0
5,33243,24675.0,74.2,24342.0,33.1,24.8,9.4,5.0,9.2,7.3,11.3
6,32755,24489.0,74.8,24153.0,34.2,26.7,6.9,4.1,10.5,7.3,10.4
