constituency_district,total,germans_above_16_female,germans_above_16_female_percentage,foreigners_from_eu,foreigners_from_eu_percentage,between_16_and_18,between_16_and_18_percentage
1,37629,18281.0,48.6,2993.0,8.0,760.0,2.0
2,33571,15203.0,45.3,4189.0,12.5,653.0,1.9
3,37708,17262.0,45.8,4321.0,11.5,776.0,2.1
4,34592,16739.0,48.4,2599.0,7.5,843.0,2.4
5,34618,17024.0,49.2,2080.0,6.0,859.0,2.5
