constituency_district,total,foreigners,foreigners_percentage,foreigners_from_eu_percentage,germans_total,germans_below_6,germans_below_6_percentage,germans_between_6_and_18,germans_between_6_and_18_percentage,germans_between_18_and_70,germans_between_18_and_70_percentage,germans_above_70,germans_above_70_percentage
1,57642,17322.0,30.1,9.1,40320.0,2423.0,6.0,4166.0,10.3,27970.0,69.4,5761.0,14.3
2,52399,12900.0,24.6,8.1,39499.0,2699.0,6.8,4084.0,10.3,28164.0,71.3,4552.0,11.5
3,49765,9075.0,18.2,6.1,40690.0,2484.0,6.1,4546.0,11.2,26990.0,66.3,6670.0,16.4
4,50100,10931.0,21.8,7.4,39169.0,2563.0,6.5,4080.0,10.4,26163.0,66.8,6363.0,16.2
5,49771,10975.0,22.1,7.1,38796.0,2360.0,6.1,3695.0,9.5,24453.0,63.0,8288.0,21.4
6,45991,7889.0,17.2,4.8,38102.0,2133.0,5.6,4264.0,11.2,22262.0,58.4,9443.0,24.8
7,45899,6574.0,14.3,4.1,39325.0,2339.0,5.9,4587.0,11.7,23392.0,59.5,9007.0,22.9
