id,district_id,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,valid_votes,invalid_votes,voter_turnout,invalid_votes_percentage,valid_votes_percentage,party_spd,party_grüne,party_cdu,party_die_linke,party_afd,party_fdp,party_tierschutzpartei,party_die_partei,party_team_todenhöfer,party_freie_wähler,party_volt,party_mlpd,party_büso,party_sgp,party_bündnis_deutschland,party_bsw,party_mera25,party_pdf,party_spd_percentage,party_grüne_percentage,party_cdu_percentage,party_die_linke_percentage,party_afd_percentage,party_fdp_percentage,party_tierschutzpartei_percentage,party_die_partei_percentage,party_team_todenhöfer_percentage,party_freie_wähler_percentage,party_volt_percentage,party_mlpd_percentage,party_büso_percentage,party_sgp_percentage,party_bündnis_deutschland_percentage,party_bsw_percentage,party_mera25_percentage,party_pdf_percentage
01,01,207445,136745,70700,0,161865,65759,160986,879,78.02791101255755,0.5430451302010935,99.4569548697989,24189,34920,21678,43614,14291,6422,1558,973,526,297,1786,85,23,55,168,9794,389,218,15.025530170325368,21.691327196153704,13.46576720957102,27.091796802206403,8.877169443305629,3.9891667598424703,0.9677860186600077,0.6044003826419688,0.3267364864025443,0.1844880921322351,1.1094132409029356,0.05279962232740735,0.01428695662976905,0.03416446150596946,0.10435690060005218,6.083758836172089,0.2416359186513113,0.13541550196911534
02,02,169289,107233,62056,0,139600,58163,139018,582,82.4625344824531,0.4169054441260745,99.58309455587393,18613,36883,11907,46387,8466,3622,1259,1166,298,192,1517,74,23,18,177,7887,347,182,13.38891366585622,26.531096692514637,8.565077903580832,33.36762145909163,6.089858867197054,2.605418003424017,0.905638118804759,0.838740307010603,0.21436073026514552,0.13811161144599982,1.0912255966853213,0.05323051691147909,0.016544620121135393,0.01294796357306248,0.12732164180178107,5.67336603893021,0.24960796443626007,0.13091829834985397
03,03,284832,173267,111565,0,240341,106034,239256,1085,84.37991517806988,0.4514419096200815,99.54855809037993,31571,48556,33443,53850,35607,7943,3291,1896,250,856,2773,107,133,62,362,17882,244,430,13.195489350319322,20.29457986424583,13.977914869428561,22.507272544889155,14.882385394723643,3.319874945664895,1.3755140936904404,0.792456615508075,0.1044905874878791,0.357775771558498,1.159009596415555,0.04472197144481225,0.05558899254355168,0.025913665696994014,0.15130237068244892,7.474002741833016,0.10198281338817,0.17972381047915204
04,04,215705,133459,82246,0,177354,77371,176509,845,82.22062539115922,0.4764482334765497,99.52355176652345,31626,37374,40105,26209,16600,10928,1734,876,334,291,1826,35,27,17,205,7948,180,194,17.917499957509246,21.173991127931156,22.721221014225904,14.848534635627644,9.40461959446827,6.191185718575257,0.9823861672775892,0.4962919737803738,0.1892254785874941,0.1648641145777269,1.0345081553915099,0.019829017217252377,0.015296670424737549,0.009631236934094012,0.11614138655819249,4.502886538363483,0.10197780283158364,0.1099094097184846
05,05,156335,111932,44402,1,118242,41515,117219,1023,75.63373524802508,0.8651748109808698,99.13482518901912,21599,12373,28667,14331,23034,4615,2493,965,379,378,773,86,45,31,141,6960,117,232,18.42619370579855,10.555456026753342,24.455932911899946,12.22583369590254,19.650397973024848,3.937075047560549,2.1267883192997723,0.8232453783089773,0.32332642319077964,0.32247331917180666,0.6594494066661548,0.07336694563168088,0.0383896808537865,0.026446224588164032,0.1202876666751977,5.937603972052313,0.09981317021984491,0.19792013240174372
06,06,214757,128760,85997,0,181883,81877,181064,819,84.69246636896585,0.45028947180330214,99.5497105281967,32989,35848,48500,20722,18678,10750,2207,816,334,656,1719,26,38,26,257,7070,125,303,18.21952458799099,19.798524278708083,26.78610877921619,11.444572085008616,10.315689479962886,5.937127203640702,1.2189060221800025,0.45066937657402906,0.18446516148985995,0.3623028321477489,0.949388061679848,0.014359563469270534,0.02098705430124155,0.014359563469270534,0.14193876198471259,3.9046966818362567,0.06903636283303141,0.16734414350726814
07,07,229238,143954,85274,10,186838,80769,185683,1155,81.50393913749029,0.6181825966880399,99.38181740331196,32850,36909,38864,32120,20986,7145,2615,1011,609,458,1613,61,93,42,251,9521,246,289,17.691441865975886,19.877425504758108,20.930295180495794,17.29829871339864,11.302057808199997,3.84795592488273,1.4083141698486128,0.5444763387062898,0.3279783286569045,0.24665693682243395,0.8686848015165631,0.032851688092070896,0.050085360533812996,0.02261919507978652,0.13517661821491467,5.127556103682082,0.13248385689589245,0.15564160423948342
08,08,192506,128287,64219,0,146236,59638,145169,1067,75.96438552564595,0.7296424956918953,99.27035750430811,22853,22260,26183,36686,18874,4033,2207,861,704,425,976,110,36,32,241,8186,325,177,15.742341684519424,15.33385226873506,18.03621985410108,25.27123559437621,13.001398370175451,2.778141338715566,1.5202970331131302,0.5931018330359787,0.48495202143708366,0.2927622288505122,0.6723198479014114,0.07577375334954432,0.024798682914396325,0.02204327370168562,0.16601340506581982,5.638944953812453,0.22387699853274456,0.1219268576624486
09,09,206841,140974,65867,0,169802,62439,168783,1019,82.09300863948637,0.6001107171882546,99.39988928281174,21403,20226,25858,36609,36410,4949,3017,1294,260,761,1546,86,72,27,299,15471,128,367,12.680779462386615,11.983434350615878,15.320263296659023,21.689980626010914,21.572077756646106,2.932167339127756,1.7875022958473306,0.7666648892364752,0.15404394992386675,0.45087479189254837,0.9159690253165307,0.050952998820971304,0.04265832459430156,0.015996871722863085,0.17715054241244677,9.166207497200547,0.07583702150098055,0.21743896008484268
10,10,195867,140595,55272,0,149493,51926,148443,1050,76.32372987792738,0.7023740242018021,99.2976259757982,16161,8913,24495,24761,46285,3806,3365,1037,196,1038,1143,115,63,47,300,16236,87,395,10.887007134051455,6.004324892382935,16.501283320870638,16.68047668128507,31.1803183713614,2.5639471042757154,2.2668633751675724,0.6985846419164259,0.13203721293695223,0.6992583011661041,0.7699925223823286,0.07747081371300768,0.042440532729734644,0.0316619847348814,0.2020977749034983,10.93753157777733,0.05860835472201451,0.2660954036229395
