id,district_id,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,valid_votes,invalid_votes,voter_turnout,invalid_votes_percentage,valid_votes_percentage,party_spd,party_grüne,party_cdu,party_die_linke,party_afd,party_fdp,party_tierschutzpartei,party_die_partei,party_team_todenhöfer,party_freie_wähler,party_volt,party_mlpd,party_büso,party_sgp,party_bündnis_deutschland,party_bsw,party_mera25,party_pdf,party_pape,party_wendt,party_thomas,party_heider,party_spd_percentage,party_grüne_percentage,party_cdu_percentage,party_die_linke_percentage,party_afd_percentage,party_fdp_percentage,party_tierschutzpartei_percentage,party_die_partei_percentage,party_team_todenhöfer_percentage,party_freie_wähler_percentage,party_volt_percentage,party_mlpd_percentage,party_büso_percentage,party_sgp_percentage,party_bündnis_deutschland_percentage,party_bsw_percentage,party_mera25_percentage,party_pdf_percentage,party_pape_percentage,party_wendt_percentage,party_thomas_percentage,party_heider_percentage
01,01,207445,136745,70700,0,161865,65759,160822,1043,78.02791101255755,0.6443641306026626,99.35563586939735,26816,40672,22933,38521,13706,4586,1808,1485,749,471,0,131,0,73,201,8012,658,0,0,0,0,0,16.67433560085063,25.29007225379612,14.259864943850967,23.952568678414647,8.522465831789184,2.851599905485568,1.1242242976707169,0.9233811294474638,0.4657323003071719,0.2928703784308117,0.0,0.08145651714317693,0.0,0.045391799629403935,0.12498290034945467,4.981905460695676,0.4091480021390108,0.0,0.0,0.0,0.0,0.0
02,02,169289,107233,62056,0,139600,58163,138247,1353,82.4625344824531,0.9691977077363898,99.03080229226362,17874,42846,12785,50646,8943,3184,0,0,0,0,0,0,0,0,659,0,0,0,0,726,0,584,12.929032818072,30.99235426446867,9.247940280801753,36.634429680210054,6.468856467048109,2.3031241184257163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4766830383299457,0.0,0.0,0.0,0.0,0.5251470194651602,0.0,0.4224323131785861
03,03,284832,173267,111565,0,240341,106034,237623,2718,84.37991517806988,1.1308931892602594,98.86910681073974,31751,62779,37073,56413,38090,6500,0,0,0,2357,0,0,812,0,1445,0,0,0,0,274,0,129,13.361922036166533,26.41958059615441,15.601604221813545,23.740547000921627,16.029593094944513,2.7354254428232956,0.0,0.0,0.0,0.9919073490360782,0.0,0.0,0.3417177630111563,0.0,0.6081061176737943,0.0,0.0,0.0,0.0,0.1153087032820897,0.0,0.05428767417295464
04,04,215705,133459,82246,0,177354,77371,175847,1507,82.22062539115922,0.8497130033717875,99.15028699662821,42036,40983,45417,20181,16182,7572,0,2853,0,0,0,48,0,0,575,0,0,0,0,0,0,0,23.904871848823124,23.306055832627226,25.827566009087445,11.476453962819951,9.202317924104477,4.306016025294716,0.0,1.6224331378982868,0.0,0.0,0.0,0.027296456578730373,0.0,0.0,0.3269888027660409,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05,05,156335,111932,44402,1,118242,41515,116660,1582,75.63373524802508,1.3379340674210518,98.66206593257894,32351,9915,31161,12724,23619,3774,0,2752,0,0,0,364,0,0,0,0,0,0,0,0,0,0,27.73101320075433,8.499057088976512,26.71095491170924,10.906908966226641,20.24601405794617,3.235042002400137,0.0,2.3589919423967083,0.0,0.0,0.0,0.3120178295902623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06,06,214757,128760,85997,0,181883,81877,180189,1694,84.69246636896585,0.9313679673196505,99.06863203268034,40355,39843,55398,15823,18539,7382,0,0,0,1905,0,0,0,0,944,0,0,0,0,0,0,0,22.39592871928919,22.11178262824035,30.7443850623512,8.781335153644228,10.28864137100489,4.096809461176876,0.0,0.0,0.0,1.0572232489219653,0.0,0.0,0.0,0.0,0.5238943553713046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07,07,229238,143954,85274,10,186838,80769,185018,1820,81.50393913749029,0.9741059099326689,99.02589409006734,37934,45639,45573,22399,20626,4986,4467,0,1810,0,0,0,233,0,532,0,0,0,0,0,819,0,20.5028699910279,24.667329665221764,24.631657460355207,12.106389648574734,11.1481045087505,2.694872931282362,2.4143596839226453,0.0,0.9782831940676042,0.0,0.0,0.0,0.12593369293798443,0.0,0.28753959074252233,0.0,0.0,0.0,0.0,0.0,0.44265963311677786,0.0
08,08,192506,128287,64219,0,146236,59638,144837,1399,75.96438552564595,0.9566727755135535,99.04332722448645,27266,16136,28487,43413,18893,2791,2654,1335,2135,831,0,262,0,0,506,0,0,0,128,0,0,0,18.825300165013083,11.140799657546069,19.668316797503397,29.973694566996002,13.04431878594558,1.9269937930225012,1.8324047032181003,0.9217258021085772,1.4740708520612826,0.5737484206383728,0.0,0.18089300385951104,0.0,0.0,0.3493582440950862,0.0,0.0,0.0,0.08837520799243287,0.0,0.0,0.0
09,09,206841,140974,65867,0,169802,62439,168680,1122,82.09300863948637,0.6607696022426119,99.33923039775738,14472,8081,23747,70572,34646,2961,3235,0,0,892,0,113,100,0,367,9494,0,0,0,0,0,0,8.579558928147971,4.79072800569125,14.078136115722078,41.83779938344795,20.539483044818592,1.755394830448186,1.917832582404553,0.0,0.0,0.5288119516243776,0.0,0.06699075171923169,0.059283851078966096,0.0,0.21757173345980557,5.6284088214370405,0.0,0.0,0.0,0.0,0.0,0.0
10,10,195867,140595,55272,0,149493,51926,148205,1288,76.32372987792738,0.8615788030208772,99.13842119697912,12926,6093,43262,24895,43729,1871,0,0,0,1834,0,326,0,0,515,12754,0,0,0,0,0,0,8.721703046455923,4.11119732802537,29.190648088795925,16.797678890725685,29.50575216760568,1.2624405384433723,0.0,0.0,0.0,1.2374751189231132,0.0,0.21996558820552614,0.0,0.0,0.34749165007928207,8.605647582740124,0.0,0.0,0.0,0.0,0.0,0.0
