age,2021_total,2021_male,2021_female,2017_total,2017_male,2017_female,comparison_total,comparison_male,comparison_female
18 bis unter 21,71.3,70.1,72.5,69.1,68.5,69.8,2.2,1.6,2.7
21 bis unter 25,73,70.6,75.3,66.5,64.9,67.9,6.5,5.7,7.4
25 bis unter 30,78,75.2,80.4,71.1,68.2,74,6.9,7,6.4
30 bis unter 35,77,75.8,78,75.6,73.6,77.6,1.4,2.2,0.4
35 bis unter 40,76.4,75.9,76.9,76.9,74.2,79.7,-0.5,1.7,-2.8
40 bis unter 45,77.4,74.6,80.2,78.9,77,80.8,-1.5,-2.4,-0.6
45 bis unter 50,81.1,79.6,82.7,80.2,78.2,82.4,0.9,1.4,0.3
50 bis unter 60,77.8,76.8,78.8,78.1,77.3,79,-0.3,-0.5,-0.2
60 bis unter 70,72.9,72.8,73,79,79.4,78.6,-6.1,-6.6,-5.6
70 und älter,70.2,72.2,68.7,71.3,76.3,67.9,-1.1,-4.1,0.8
