age,total,party_cdu,party_die_linke,party_spu,party_grüne,party_afd,party_fdp,others
18 bis unter 25,100,8.7,14.6,18.3,35.5,2.4,10.2,10.4
25 bis unter 35,100,9.7,14.2,17.9,36.9,2.4,7.7,11.2
35 bis unter 45,100,17.0,7.1,24.4,29.4,4.5,6.5,11.1
45 bis unter 60,100,21.1,5.9,25.0,25.2,6.5,7.6,8.7
60 bis unter 70,100,26.3,5.0,31.8,18.0,6.5,6.2,6.3
70 und älter,100,37.8,2.4,37.7,8.6,3.5,5.8,4.2
Insgesamt,100,22.3,7.1,27.1,23.6,4.6,7.1,8.2
