age,total,party_cdu,party_die_linke,party_spu,party_grüne,party_afd,party_fdp,others
18 bis unter 25,7.3,2.7,9.5,4.4,10.5,3.3,10.4,12.9
25 bis unter 35,15.3,6.7,18,9.6,24.1,7.9,17.3,24.4
35 bis unter 45,17.5,13,15.5,13.1,24.4,17.2,18,21.4
45 bis unter 60,26,25.3,21,24.7,26.1,36,28.7,24.2
60 bis unter 70,14.3,17.8,15.6,18.5,8.2,19.9,11.9,8.5
70 und älter,19.6,34.5,20.3,29.7,6.6,15.6,13.7,8.7
Insgesamt,100,100,100,100,100,100,100,100
