district_name,eligible_voters,voters,valid_votes,party_cdu,party_die_linke,party_spd,party_grüne,party_afd,party_fdp,others
Mitte,206706,151412,149443,27861,32118,26788,25708,12289,12972,11707
Friedrichshain-Kreuzberg,172386,133173,131997,17154,38516,21042,28368,7170,7461,12286
Pankow,288112,228615,226399,43727,54274,35534,33360,27008,15007,17489
Charlottenburg-Wilmersdorf,220328,173125,171499,43447,20239,33585,26589,14299,24752,8588
Spandau,162952,117918,115895,33350,10908,26499,9244,16556,11455,7883
Steglitz-Zehlendorf,221210,180720,178957,53281,16352,34279,25361,15824,25461,8399
Tempelhof-Schöneberg,235250,181159,179081,44721,23625,36179,27956,17108,18569,10923
Neukölln,202618,143553,141413,31592,25752,27520,18446,15904,10891,11308
Treptow-Köpenick,205106,157111,155188,31372,39000,24109,12168,26278,10067,12194
Marzahn-Hellersdorf,200704,138992,136939,28620,35698,19797,5621,29618,7290,10295
Lichtenberg,205300,149116,147126,27284,43172,21850,9821,24603,7745,12651
Reinickendorf,182398,137240,135105,41912,11516,27071,12305,18513,15376,8412
