age,2021_total,2021_male,2021_female,2017_total,2017_male,2017_female,comparison_total,comparison_male,comparison_female
18 bis unter 21,2.5,2.6,2.5,2.6,2.7,2.6,-0.1,-0.1,-0.1
21 bis unter 25,4.2,4.0,4.4,4.1,4.1,4.0,0.1,-0.1,0.4
25 bis unter 30,6.1,6.0,6.2,8.1,8.4,7.8,-2,-2.4,-1.6
30 bis unter 35,8.8,9.1,8.5,9.0,9.3,8.8,-0.2,-0.2,-0.3
35 bis unter 40,8.7,9.2,8.2,8.3,9.0,7.7,0.4,0.2,0.5
40 bis unter 45,8,8.3,7.8,6.8,7.1,6.4,1.2,1.2,1.4
45 bis unter 50,7.3,7.4,7.1,7.9,8.6,7.3,-0.6,-1.2,-0.2
50 bis unter 60,18.9,19.8,18.1,18.7,19.6,17.9,0.2,0.2,0.2
60 bis unter 70,14.6,14.7,14.5,13.9,13.8,14.0,0.7,0.9,0.5
70 und älter,21,18.8,22.9,20.6,17.4,23.6,0.4,1.4,-0.7
