age,total,party_cdu,party_die_linke,party_spu,party_grüne,party_afd,party_fdp,others
18 bis unter 25,8.5,3.0,14.8,5.1,11.8,3.6,11.8,15.7
25 bis unter 35,15.4,6.0,26.7,9.8,23.3,9.1,16.3,25.8
35 bis unter 45,15.5,11.2,17.6,12.5,20.5,15.2,15.1,19.6
45 bis unter 60,24.9,24.3,19.9,24.1,25.2,33.3,28.6,21.9
60 bis unter 70,14.4,17.3,11.5,18.4,10.4,20.5,12.1,8.3
70 und älter,21.2,38.2,9.5,30.2,8.8,18.4,16.1,8.7
Insgesamt,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
