age,2021_total,2021_male,2021_female,2017_total,2017_male,2017_female,comparison_total,comparison_male,comparison_female
18 bis unter 21,2.7,2.9,2.6,2.9,3.0,2.9,-0.2,-0.1,-0.3
21 bis unter 25,4.6,4.3,4.8,4.6,4.8,4.4,0,-0.5,0.4
25 bis unter 30,6.5,6.7,6.4,8.1,8.5,7.7,-1.6,-1.8,-1.3
30 bis unter 35,8.1,8.8,7.6,7.9,8.2,7.6,0.2,0.6,0
35 bis unter 40,7.5,7.9,7.2,7.2,7.8,6.6,0.3,0.1,0.6
40 bis unter 45,7.0,7.3,6.6,6.0,6.3,5.7,1,1,0.9
45 bis unter 50,6.6,6.5,6.6,7.6,8.2,7.0,-1,-1.7,-0.4
50 bis unter 60,18.5,19.2,17.9,18.9,19.9,17.9,-0.4,-0.7,0
60 bis unter 70,14.9,15.2,14.7,14.1,14.0,14.2,0.8,1.2,0.5
70 und älter,23.6,21.2,25.7,22.7,19.4,25.9,0.9,1.8,-0.2
