age,total,party_cdu,party_die_linke,party_spu,party_grüne,party_afd,party_fdp,others
18 bis unter 25,100,4,18.5,11.7,30.7,6.6,13.8,14.8
25 bis unter 35,100,6.9,16.2,13.3,30.2,5.9,11.4,16
35 bis unter 45,100,9.5,11.9,15.2,29.3,11.9,10.3,11.8
45 bis unter 60,100,12.3,12.9,18.7,19.8,19.2,8.8,8.3
60 bis unter 70,100,15.1,18.7,26.8,8.1,20.9,5.9,4.4
70 und älter,100,17,25.6,35.2,3.9,11.5,3.3,3.4
Insgesamt,100,11.5,16.3,20.4,19.9,14,8.6,9.3
