feature,year_1990,year_1994,year_1998,year_2002,year_2005,year_2009,year_2013,year_2017,year_2021
Gültige Zweitstimmen,x,2.8,3.7,-3.7,2.8,-7.6,4.3,6.5,-11.2
CDU,x,-17.5,-21.9,4.6,-12.1,13.9,45.1,-12,-36.7
DIE LINKE²,x,44,-10.6,-21,23.5,5.8,-9.1,-5.6,-44.3
SPD,x,8.6,10.1,6.7,-7.7,-52,21.5,-23.9,20.6
GRÜNE³,x,-19.8,19.8,28.3,6.1,20.7,-27.1,11.9,67.6
Af⁴,x,x,x,x,x,x,x,212.1,-24.5
FDP,x,-74.8,14.4,109.7,19.7,33.8,-69.9,205.8,-7.6
Sonstige,x,33.2,167.3,-48.2,7.4,50.6,54.8,-39.4,17.4
