age,total,party_cdu,party_die_linke,party_spu,party_grüne,party_afd,party_fdp,others
18 bis unter 25,100,7.1,24,13.1,26.6,7.1,11.6,10.5
25 bis unter 35,100,8.3,21.4,12.3,28.6,5.9,9.7,13.7
35 bis unter 45,100,11.9,18.4,14.3,25.7,11.6,8,10
45 bis unter 60,100,14.8,18.6,15.9,17.9,18,7,7.7
60 bis unter 70,100,18.2,25.9,20.3,7.1,19.5,4.5,4.5
70 und älter,100,20.8,34.7,26.4,3.1,10.7,2.5,1.8
Insgesamt,100,14.2,22.8,17.1,17.8,13.3,6.8,7.9
