age,total,party_cdu,party_die_linke,party_spu,party_grüne,party_afd,party_fdp,others
18 bis unter 25,100,6.4,24.5,11.9,28.9,5.7,10.1,12.6
25 bis unter 35,100,7.9,19.7,12.3,33.9,5.2,7.8,13.2
35 bis unter 45,100,12,17.7,14.5,28.7,9.7,7,10.4
45 bis unter 60,100,13.8,19.2,17.5,19.7,14.5,6.3,9
60 bis unter 70,100,18.8,28.8,21.5,7.2,14,4.2,5.4
70 und älter,100,21.4,33.2,27.6,3.6,8.3,2.7,3.3
Insgesamt,100,14.2,23.1,18.1,19.6,10.5,6,8.6
