age,total,party_cdu,party_die_linke,party_spu,party_grüne,party_afd,party_fdp,others
18 bis unter 25,6.1,2.1,7,3.5,9.5,2.9,9.9,9.8
25 bis unter 35,14.7,8.8,14.6,9.6,22.3,6.2,19.7,25.4
35 bis unter 45,20.5,17,15,15.3,30.3,17.4,24.7,26.2
45 bis unter 60,29.3,31.3,23.2,26.8,29.2,40.1,30,26.1
60 bis unter 70,14.1,18.4,16.2,18.5,5.7,20.9,9.8,6.8
70 und älter,15.3,22.4,24,26.3,3,12.5,5.9,5.7
Insgesamt,100,100,100,100,100,100,100,100
