age,2021_total,2021_male,2021_female,2017_total,2017_male,2017_female,comparison_total,comparison_male,comparison_female
18 bis unter 25,11.8,14.2,9.6,6.4,7.4,5.5,5.4,6.8,4.1
25 bis unter 35,9.1,11.3,7.0,4.7,5.1,4.2,4.4,6.2,2.8
35 bis unter 45,7.4,8.5,6.2,5.1,5.2,5.1,2.3,3.3,1.1
45 bis unter 60,7.4,8.1,6.7,5.6,5.4,5.8,1.8,2.7,0.9
60 bis unter 70,5.7,6.1,5.2,5.8,5.7,5.9,-0.1,0.4,-0.7
70 und älter,4.2,3.7,4.6,6.5,6.4,6.6,-2.3,-2.7,-2.0
Insgesamt,7.1,8.1,6.2,5.6,5.7,5.6,1.5,2.4,0.6
