age,2021_total,2021_male,2021_female,2017_total,2017_male,2017_female,comparison_total,comparison_male,comparison_female
18 bis unter 21,69.7,67.3,72.2,68.9,67.8,70.1,0.8,-0.5,2.1
21 bis unter 25,71,67.5,74.2,66.4,65.0,67.8,4.6,2.5,6.4
25 bis unter 30,75.4,71.9,78.7,70.2,68.1,72.4,5.2,3.8,6.3
30 bis unter 35,76,74.5,77.6,75.3,73.6,76.9,0.7,0.9,0.7
35 bis unter 40,76.7,75.9,77.5,76.7,74.1,79.5,0.0,1.8,-2.0
40 bis unter 45,76.6,74.3,78.8,77.3,76.3,78.4,-0.7,-2.0,0.4
45 bis unter 50,80.1,78.7,81.4,80.1,78.1,82.3,0.0,0.6,-0.9
50 bis unter 60,77.7,76.3,79.0,77.9,77.8,78.1,-0.2,-1.5,0.9
60 bis unter 70,74.7,74.3,75.1,78.3,78.0,78.5,-3.6,-3.7,-3.4
70 und älter,71.8,74.1,70.3,73.8,77.2,71.5,-2.0,-3.1,-1.2
