age,2021_total,2021_male,2021_female,2017_total,2017_male,2017_female,comparison_total,comparison_male,comparison_female
18 bis unter 25,17.4,16.5,18.2,21.9,21.2,22.6,-4.5,-4.7,-4.4
25 bis unter 35,16,16.0,16.0,22.7,22.9,22.6,-6.7,-6.9,-6.6
35 bis unter 45,13,13.7,12.2,19.7,20.1,19.4,-6.7,-6.4,-7.2
45 bis unter 60,12,11.9,12.0,18.7,18.0,19.5,-6.7,-6.1,-7.5
60 bis unter 70,15.6,14.5,16.7,22.8,22.6,22.9,-7.2,-8.1,-6.2
70 und älter,14.9,15.6,14.4,18.4,19.0,18.0,-3.5,-3.4,-3.6
Insgesamt,14.3,14.2,14.3,20.2,20.2,20.3,-5.9,-6.0,-6.0
