district_name,eligible_voters,voters,valid_votes,party_cdu,party_die_linke,party_spd,party_grüne,party_afd,party_fdp,others
Mitte,x,73.2,98.7,18.6,21.5,17.9,17.2,8.2,8.7,7.8
Friedrichshain-Kreuzberg,x,77.3,99.1,13.0,29.2,15.9,21.5,5.4,5.7,9.3
Pankow,x,79.3,99.0,19.3,24.0,15.7,14.7,11.9,6.6,7.7
Charlottenburg-Wilmersdorf,x,78.6,99.1,25.3,11.8,19.6,15.5,8.3,14.4,5.0
Spandau,x,72.4,98.3,28.8,9.4,22.9,8.0,14.3,9.9,6.8
Steglitz-Zehlendorf,x,81.7,99.0,29.8,9.1,19.2,14.2,8.8,14.2,4.7
Tempelhof-Schöneberg,x,77.0,98.9,25.0,13.2,20.2,15.6,9.6,10.4,6.1
Neukölln,x,70.8,98.5,22.3,18.2,19.5,13.0,11.2,7.7,8.0
Treptow-Köpenick,x,76.6,98.8,20.2,25.1,15.5,7.8,16.9,6.5,7.9
Marzahn-Hellersdorf,x,69.3,98.5,20.9,26.1,14.5,4.1,21.6,5.3,7.5
Lichtenberg,x,72.6,98.7,18.5,29.3,14.9,6.7,16.7,5.3,8.6
Reinickendorf,x,75.2,98.4,31.0,8.5,20.0,9.1,13.7,11.4,6.2
