feature,year_1990,year_1994,year_1998,year_2002,year_2005,year_2009,year_2013,year_2017,year_2021
Gültige Zweitstimmen,100,100,100,100,100,100,100,100,100
CDU,24.3,19.5,14.7,15.9,13.6,16.8,23.4,19.3,13.8
DIE LINKE²,24.8,34.7,30,24.6,29.5,33.8,29.5,26.1,16.4
SPD,31.3,33.1,35.1,38.9,34.9,18.1,21.1,15.1,20.5
GRÜNE³,8.8,6.9,7.9,10.5,10.9,14.2,9.9,10.4,19.7
AfD⁴,x,x,x,x,x,x,5.1,14.8,12.6
FDP,7.7,1.9,2.1,4.6,5.3,7.7,2.2,6.4,6.6
Sonstige,3.1,4,10.2,5.5,5.7,9.4,13.9,7.9,10.5
