age,total,party_cdu,party_die_linke,party_spu,party_grüne,party_afd,party_fdp,others
18 bis unter 25,100,7.3,11.4,16.4,27.6,2.8,19.3,15.3
25 bis unter 35,100,7.5,11.4,17.1,30.4,5.0,13.6,15.0
35 bis unter 45,100,13.4,9.0,18.7,28.5,7.3,12.4,10.6
45 bis unter 60,100,20.2,5.7,23.4,20.1,10.2,13.7,6.6
60 bis unter 70,100,22.7,6.3,31.3,14.6,12.0,9.4,3.7
70 und älter,100,34.6,3.5,33.9,10.0,7.3,8.1,2.6
Insgesamt,100,19.1,7.3,24.2,21.1,7.9,12.2,8.2
