feature,year_1990,year_1994,year_1998,year_2002,year_2005,year_2009,year_2013,year_2017,year_2021
Wahlberechtigte,x,-2.4,-4.1,-1.6,-1.4,0.4,1.9,-0.279648836656733,-1.9
Wählende,x,-6.9,-1.5,-4.8,-2.8,-6.8,3.1,2.80849917903107,-8.8
Briefwählende,x,30.1,26,11.4,-10.9,11,8.9,21.6,24.3
Wahllokalwählende,x,-12.1,-7.2,-9.3,0,-12.3,0.9,-5.1,-26.5
