age,2021_total,2021_male,2021_female,2017_total,2017_male,2017_female,comparison_total,comparison_male,comparison_female
18 bis unter 25,2.7,2.8,2.6,6.0,6.5,5.5,-3.3,-3.7,-2.9
25 bis unter 35,3.8,5.0,2.6,6.8,8.6,5.1,-3.0,-3.6,-2.5
35 bis unter 45,6.3,7.3,5.2,8.9,11.3,6.6,-2.6,-4.0,-1.4
45 bis unter 60,8.6,10.2,7.2,13.3,17.0,9.5,-4.7,-6.8,-2.3
60 bis unter 70,9.1,12.0,6.5,12.0,15.8,8.5,-2.9,-3.8,-2.0
70 und älter,5.6,7.3,4.3,8.8,12.2,6.3,-3.2,-4.9,-2.0
Insgesamt,6.4,7.9,5.1,10.1,13.1,7.3,-3.7,-5.2,-2.2
