age,2021_total,2021_male,2021_female,2017_total,2017_male,2017_female,comparison_total,comparison_male,comparison_female
18 bis unter 25,9.8,11.0,8.7,19.6,18.5,20.7,-9.8,-7.5,-12.0
25 bis unter 35,9.7,9.7,9.7,18.8,18.5,19.1,-9.1,-8.8,-9.4
35 bis unter 45,16.8,16.6,17.0,23.3,22.5,24.1,-6.5,-5.9,-7.1
45 bis unter 60,22.9,25.0,21.1,25.4,24.4,26.4,-2.5,0.6,-5.3
60 bis unter 70,26.2,26.2,26.3,29.1,26.3,31.6,-2.9,-0.1,-5.3
70 und älter,38.9,40.3,37.8,46.0,42.4,48.7,-7.1,-2.1,-10.9
Insgesamt,22.7,23.1,22.3,28.7,26.5,30.7,-6.0,-3.4,-8.4
