age,total,party_cdu,party_die_linke,party_spu,party_grüne,party_afd,party_fdp,others
18 bis unter 25,5.7,2,6.6,3.2,8.4,3.7,5.6,9.5
25 bis unter 35,15.5,7.8,12.5,8.8,27.5,8.5,18.2,20.4
35 bis unter 45,19.3,17,13.8,12.7,29.2,20.8,21.3,21.4
45 bis unter 60,25.4,23.7,20.2,24.8,25.9,34.8,27.5,27.3
60 bis unter 70,14.4,18.9,19.1,19.1,5.1,17.2,13.8,10.2
70 und älter,19.7,30.6,27.8,31.4,3.9,15.1,13.6,11.2
Insgesamt,100,100,100,100,100,100,100,100
