feature,year_1990,year_1994,year_1998,year_2002,year_2005,year_2009,year_2013,year_2017,year_2021
Gültige Zweitstimmen,1289897,1206696,1187330,1129772,1093414,1018309,1052178,1085409,987269
CDU,616959,467347,350318,365698,304759,274756,336785,273033,193401
DIE LINKE²,16334,31357,32475,30374,78480,110423,113884,146770,80176
SPD,390083,417284,470235,396432,371051,220225,283978,216012,231848
GRÜNE³,81924,148263,160832,195707,171472,199276,147630,153137,233660
AfD⁴,x,x,x,x,x,x,50886,109148,71464
FDP,127771,86523,79243,90112,111587,144231,47292,117129,90852
Sonstige,56826,55922,94227,51449,56065,69398,122609,70180,85868
