feature,year_1990,year_1994,year_1998,year_2002,year_2005,year_2009,year_2013,year_2017,year_2021
Gültige Zweitstimmen,100,96.9,97.3,93,92.2,85.6,88.8,92.9,83.6
CDU,100,77.2,58.5,61.1,51.6,49.6,64.2,53.5,36.5
DIE LINKE²,100,148,134.6,108.7,155.2,178.2,169,179.5,99.2
SPD,100,107.6,120.2,111.2,103.5,56.5,71.3,54.2,60.7
GRÜNE³,100,136.9,152.5,188.3,175,205.9,151.7,161.5,254.8
AfD⁴,x,x,x,x,x,x,x,x,x
FDP,100,54.8,51.9,67.5,82.8,108,34.6,90.9,74.5
Sonstige,100,108.2,219.1,116.9,126.5,171.5,284.7,167.3,200.9
