age,total,party_cdu,party_die_linke,party_spu,party_grüne,party_afd,party_fdp,others
18 bis unter 25,8,2.9,16.3,4.5,12.3,4.3,9.8,15.5
25 bis unter 35,14,5.6,28.6,8.6,23.5,7.8,14.3,23.2
35 bis unter 45,14,10.4,14.3,11.9,18.5,14.5,12.5,17.6
45 bis unter 60,25,22.8,20.6,24.2,26.5,35.5,29.9,23.3
60 bis unter 70,14,17.5,10.7,18.1,10.6,18.5,13.4,9.6
70 und älter,22,40.8,9.6,32.6,8.6,19.3,20.1,10.7
Insgesamt,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
