age,total,party_cdu,party_die_linke,party_spu,party_grüne,party_afd,party_fdp,others
18 bis unter 25,5.9,2.7,6.3,3.9,8.7,3.2,10,8.7
25 bis unter 35,15.1,8.4,12.9,10.3,26.2,7.6,19.7,23.1
35 bis unter 45,20,16.9,15.3,15.9,29.3,18.5,23.5,24.1
45 bis unter 60,27.2,26.5,22.6,26.3,27.3,37.6,28.8,28.4
60 bis unter 70,14.2,18.9,17.7,16.9,5.2,19.1,10.1,9
70 und älter,17.6,26.5,25.2,26.7,3.2,14,8,6.7
Insgesamt,100,100,100,100,100,100,100,100
