age,total,party_cdu,party_die_linke,party_spu,party_grüne,party_afd,party_fdp,others
18 bis unter 25,100,9.6,16.5,18.4,26.4,4.3,14.2,10.7
25 bis unter 35,100,9.1,16,17.5,28.4,5.4,11.3,12.3
35 bis unter 45,100,14.3,13.7,18.2,26.5,9.7,8.5,9.1
45 bis unter 60,100,19.9,11.9,20.1,18.6,14.2,8.1,7.2
60 bis unter 70,100,22.6,14.5,26.2,11.6,14.8,6.1,4.1
70 und älter,100,32.6,15.6,31.3,6.4,8.4,3.7,2.1
Insgesamt,100,19.1,14.2,22,19,10.3,8.1,7.2
