age,total,party_cdu,party_die_linke,party_spu,party_grüne,party_afd,party_fdp,others
18 bis unter 25,100,6,14,14.6,28.7,4.2,17.3,15.1
25 bis unter 35,100,7.3,13.4,15.5,30.3,5.4,12.7,15.4
35 bis unter 45,100,11.5,10.5,17,28.9,9.6,11.3,11.2
45 bis unter 60,100,16.4,9.2,21.1,20,14.6,11.3,7.4
60 bis unter 70,100,19.3,11.8,29.3,11.8,15.9,7.9,4.1
70 und älter,100,27.7,12.1,34.4,7.6,8.9,6.2,2.9
Insgesamt,100,15.7,11.3,22.5,20.5,10.7,10.6,8.7
