age,2021_total,2021_male,2021_female,2017_total,2017_male,2017_female,comparison_total,comparison_male,comparison_female
18 bis unter 21,21.9,21.0,22.9,16.6,13.9,19.2,5.3,7.1,3.7
21 bis unter 25,29.1,23.9,33.8,20.6,16.9,24.3,8.5,7.0,9.5
25 bis unter 30,37.6,31.6,43.6,24.7,22.7,26.8,12.9,8.9,16.8
30 bis unter 35,37.8,35.5,40.3,25.9,24.6,27.2,11.9,10.9,13.1
35 bis unter 40,36.8,34.8,38.7,23.1,21.6,24.8,13.7,13.2,13.9
40 bis unter 45,35.1,31.9,38.3,21.0,21.8,20.2,14.1,10.1,18.1
45 bis unter 50,34.8,33.9,35.6,24.2,22.8,25.7,10.6,11.1,9.9
50 bis unter 60,39.0,36.7,41.3,27.9,26.0,29.7,11.1,10.7,11.6
60 bis unter 70,43.3,40.6,45.8,34.5,32.2,36.6,8.8,8.4,9.2
70 und älter,45.6,46.1,45.2,36.4,35.8,36.7,9.2,10.3,8.5
