age,2021_total,2021_male,2021_female,2017_total,2017_male,2017_female,comparison_total,comparison_male,comparison_female
18 bis unter 21,68.8,65.7,72.0,68.8,67.3,70.2,0.0,-1.6,1.8
21 bis unter 25,69.9,65.6,73.5,66.4,65.1,67.7,3.5,0.5,5.8
25 bis unter 30,73.9,70.2,77.7,69.6,68.0,71.2,4.3,2.2,6.5
30 bis unter 35,75.2,73.4,77.2,74.9,73.6,76.2,0.3,-0.2,1.0
35 bis unter 40,77.0,76.0,78.0,76.5,73.9,79.4,0.5,2.1,-1.4
40 bis unter 45,75.8,74.0,77.5,75.9,75.6,76.2,-0.1,-1.6,1.3
45 bis unter 50,79.2,77.8,80.4,80.1,78.0,82.3,-0.9,-0.2,-1.9
50 bis unter 60,77.6,75.9,79.2,77.8,78.1,77.5,-0.2,-2.2,1.7
60 bis unter 70,76.0,75.4,76.5,77.8,77.1,78.5,-1.8,-1.7,-2.0
70 und älter,72.8,75.1,71.2,75.2,77.7,73.5,-2.4,-2.6,-2.3
