age,total,party_cdu,party_die_linke,party_spu,party_grüne,party_afd,party_fdp,others
18 bis unter 25,100,4.1,20.3,12.9,34.3,5.1,6.2,17.2
25 bis unter 35,100,5.7,14.1,13,41.5,4.4,7.5,13.8
35 bis unter 45,100,10,12.5,15,35.3,8.6,7,11.5
45 bis unter 60,100,10.6,14,22.4,23.9,11,6.9,11.2
60 bis unter 70,100,15,23.4,30.3,8.3,9.5,6.1,7.4
70 und älter,100,17.7,24.8,36.4,4.7,6.1,4.4,6
Insgesamt,100,11.4,17.6,22.9,23.4,8,6.4,10.4
