age,total,party_cdu,party_die_linke,party_spu,party_grüne,party_afd,party_fdp,others
18 bis unter 25,5.7,2.3,6.1,3.2,8.4,3.2,9.4,9.1
25 bis unter 35,15.5,8.2,12.1,10,28.3,9.3,18.3,21.2
35 bis unter 45,19.4,16.7,14.1,14.9,29,19.5,22.7,22.6
45 bis unter 60,25.3,22.8,21.4,25.6,25.7,34.5,27.4,28.2
60 bis unter 70,14.4,19.7,19.3,16.9,4.9,16.8,11.2,9.7
70 und älter,19.7,30.3,26.9,29.3,3.7,16.7,10.9,9.1
Insgesamt,100,100,100,100,100,100,100,100
