age,2021_total,2021_male,2021_female,2017_total,2017_male,2017_female,comparison_total,comparison_male,comparison_female
18 bis unter 25,3.8,4.2,3.5,6.9,8.5,5.5,-3.1,-4.3,-2.0
25 bis unter 35,4.4,5.4,3.4,8.8,11.0,6.8,-4.4,-5.6,-3.4
35 bis unter 45,8.3,9.6,7.0,11.5,14.2,8.7,-3.2,-4.6,-1.7
45 bis unter 60,11.7,14.6,8.8,16.1,20.5,11.6,-4.4,-5.9,-2.8
60 bis unter 70,11.7,15.9,7.8,14.2,18.4,10.5,-2.5,-2.5,-2.7
70 und älter,6.7,8.9,5.0,9.5,13.0,6.9,-2.8,-4.1,-1.9
Insgesamt,8.4,10.7,6.4,12.0,15.6,8.8,-3.6,-4.9,-2.4
