age,total,party_cdu,party_die_linke,party_spu,party_grüne,party_afd,party_fdp,others
18 bis unter 25,6.1,3.1,6.4,4.7,9.1,3.3,10.4,8.2
25 bis unter 35,14.7,8.6,13.8,10.6,23.5,6.5,20.8,25.5
35 bis unter 45,20.5,17.2,16.6,17.2,29.6,17.9,24.1,26
45 bis unter 60,29.2,30.5,23.9,27.2,29.4,39.5,29.8,28.7
60 bis unter 70,14.1,18.1,16,16.7,5.6,20.5,9.2,8
70 und älter,15.3,22.5,23.3,23.6,2.7,12.2,5.6,3.6
Insgesamt,100,100,100,100,100,100,100,100
