age,total,party_cdu,party_die_linke,party_spu,party_grüne,party_afd,party_fdp,others
18 bis unter 25,7.4,2.9,9.2,4.8,10.4,2.9,12.1,13
25 bis unter 35,15.4,7.1,18.3,10.6,22.7,7.8,18.5,27.5
35 bis unter 45,18.6,13.6,17.2,14,26.2,16.7,19.9,24.1
45 bis unter 60,26.7,27.8,21.8,25.1,26,36.6,28.5,22.9
60 bis unter 70,14.3,17.6,14.8,18.6,8.2,21.3,10.6,6.7
70 und älter,17.5,31,18.8,26.9,6.5,14.7,10.3,5.9
Insgesamt,100,100,100,100,100,100,100,100
