age,2021_total,2021_male,2021_female,2017_total,2017_male,2017_female,comparison_total,comparison_male,comparison_female
18 bis unter 25,14.9,14.0,15.6,20.4,19.3,21.4,-5.5,-5.3,-5.8
25 bis unter 35,13.5,13.4,13.5,21.8,22.4,21.2,-8.3,-9.0,-7.7
35 bis unter 45,10.1,10.5,9.8,17.9,19.0,16.8,-7.8,-8.5,-7.0
45 bis unter 60,9.3,9.2,9.3,17.2,16.8,17.5,-7.9,-7.6,-8.2
60 bis unter 70,12.5,11.8,13.1,21.1,21.3,20.9,-8.6,-9.5,-7.8
70 und älter,11.9,12.1,11.7,17.1,17.7,16.8,-5.2,-5.6,-5.1
Insgesamt,11.4,11.3,11.5,18.8,19.0,18.6,-7.4,-7.7,-7.1
